userName,at,score,content,polarity_score,sentiment,content_stopwords,tokenized_stemmed,cleaned_tokenized_stemmed
Ndaru Adji,2/1/2024 15:50,2,maaf sebelumnya kakak apakah aplikasi action sedang ada gangguan karena ketika saya buka dan masuk loading  lama banget tidak seperti biasanya yang cepat ketika dibuka koneksi atau koneksisaya pun bagus saja,-28,NEGATIVE,maaf sebelumnya kakak aplikasi action sedang gangguan buka masuk loading  lama banget seperti biasanya cepat ketika dibuka koneksi koneksisaya bagus,"['maaf', 'kakak', 'aplikasi', 'action', 'ganggu', 'buka', 'masuk', 'loading', 'banget', 'cepat', 'buka', 'koneksi', 'koneksisaya', 'bagus']",maaf kakak aplikasi action ganggu buka masuk loading banget cepat buka koneksi koneksisaya bagus
KANG BANTAI,1/31/2024 12:27,1,cara daftarnya bagaimana ya masa belum punya rekening sudah di minta kartu atm maksudnya bagaimana ini,6,POSITIVE,cara daftarnya bagaimana masa punya rekening di minta kartu atm maksudnya bagaimana,"['daftar', 'rekening', 'kartu', 'atm', 'maksud']",daftar rekening kartu atm maksud
Muhammad ibaLe,1/27/2024 16:55,5,tambahin top up dana min,9,POSITIVE,tambahin top up dana min,"['tambahin', 'top', 'up', 'dana', 'min']",tambahin top up dana min
Melza Maulana,1/27/2024 0:43,1,aplikasi sering eror transfer uang gagal hanya saldo di rekening terpotong,-10,NEGATIVE,aplikasi sering eror transfer uang gagal saldo rekening terpotong,"['aplikasi', 'eror', 'transfer', 'uang', 'gagal', 'saldo', 'rekening', 'potong']",aplikasi eror transfer uang gagal saldo rekening potong
Jafar Abdul Ghoffar,1/26/2024 6:47,3,sebetulnya aplikasi sudah oke fitur fitur sangat membantu sekali untuk keseharian meskipun saya sedang berada di luar aceh tapi untuk proses pergantian perangkat masih perlu ke cabang terdekat padahal bisa menggunakan otp atau sejenis yang bisa memudahkan saat ini saya jadi tidak dapat menggunakannya lagi karena sudah di ganti di perangkat lama dan harus ke kantor cabang dulu,-18,NEGATIVE,aplikasi oke fitur fitur sangat membantu sekali keseharian meskipun sedang berada luar aceh untuk proses pergantian perangkat perlu cabang terdekat padahal menggunakan otp sejenis bisa memudahkan ini jadi dapat menggunakannya karena ganti di perangkat lama harus kantor cabang dulu,"['aplikasi', 'oke', 'fitur', 'fitur', 'bantu', 'hari', 'aceh', 'proses', 'ganti', 'perangkat', 'cabang', 'dekat', 'otp', 'jenis', 'mudah', 'guna', 'ganti', 'perangkat', 'kantor', 'cabang']",aplikasi oke fitur fitur bantu hari aceh proses ganti perangkat cabang dekat otp jenis mudah guna ganti perangkat kantor cabang
Khairul Anwar,1/25/2024 22:40,3,tolong ditambah fitur deposito online akun virtual dan top up dana,13,POSITIVE,ditambah fitur deposito online akun virtual top up dana,"['tambah', 'fitur', 'deposito', 'online', 'akun', 'virtual', 'top', 'up', 'dana']",tambah fitur deposito online akun virtual top up dana
Nufus 88,1/25/2024 19:41,4,kenapa setelah melakukan transaksi tidak bisa unduh resi,-1,NEGATIVE,setelah melakukan transaksi bisa unduh resi,"['transaksi', 'unduh', 'resi']",transaksi unduh resi
ummu pulungan,1/21/2024 22:29,1,mobile banking sudah tidak bisa dibuka lagi,-7,NEGATIVE,mobile banking tidak dibuka,"['mobile', 'banking', 'buka']",mobile banking buka
Muhammad Marjono Marjon,1/21/2024 18:35,5,sangat mudah di pakai,1,POSITIVE,sangat mudah pakai,"['mudah', 'pakai']",mudah pakai
musfe 18,1/20/2024 10:06,1,rekening saya mati sudah lama nggak ada transaksi kantor cabang jauh dari rumah saya mohon segera ada fitur buka rekening mati melalui mobile action,-8,NEGATIVE,rekening mati lama transaksi kantor cabang jauh rumah mohon segera ada fitur buka rekening mati melalui mobile action,"['rekening', 'mati', 'transaksi', 'kantor', 'cabang', 'rumah', 'mohon', 'fitur', 'buka', 'rekening', 'mati', 'mobile', 'action']",rekening mati transaksi kantor cabang rumah mohon fitur buka rekening mati mobile action
Ir Wanda,1/19/2024 12:39,5,tolong di tambah fitur top up dana  dong,13,POSITIVE,di tambah fitur top up dana  dong,"['fitur', 'top', 'up', 'dana']",fitur top up dana
News cell,1/15/2024 14:39,1,ganti perangkat action harus bolak balik bank selama  hari tolong diperbaiki agar bisa ganti perangkat mandiri,-13,NEGATIVE,ganti perangkat action bolak balik bank selama  hari diperbaiki bisa ganti perangkat mandiri,"['ganti', 'perangkat', 'action', 'bolak', 'bank', 'baik', 'ganti', 'perangkat', 'mandiri']",ganti perangkat action bolak bank baik ganti perangkat mandiri
Hendrik Sj,1/13/2024 13:27,4,kenapa tidak bisa di buka aplikasinya,-5,NEGATIVE,tidak di buka aplikasinya,"['buka', 'aplikasi']",buka aplikasi
Teungku IRWANSYAH,1/13/2024 7:26,5,action bank aceh terus mengalami peningkatan dan kemajuan dan sangat membantu masyarakat dalam aktivitas sehari hari terimakasih,5,POSITIVE,action bank aceh terus mengalami peningkatan kemajuan sangat membantu masyarakat aktivitas sehari hari terimakasih,"['action', 'bank', 'aceh', 'alami', 'tingkat', 'maju', 'bantu', 'masyarakat', 'aktivitas', 'hari', 'terimakasih']",action bank aceh alami tingkat maju bantu masyarakat aktivitas hari terimakasih
Akbar Tanjung,1/12/2024 16:03,1,sering eror harusnya bisa bersaing dengan kompetitor lainnya,-1,NEGATIVE,sering eror harusnya bersaing kompetitor lainnya,"['eror', 'saing', 'kompetitor']",eror saing kompetitor
Frendiks Gulo,1/9/2024 7:28,1,aplikasi tidak baik saya transfer uang  ke bank syariah indonesia saldo terpotong dana tidak masuk ke rekening tujuan lapor ke layanan pelanggan c keterangan gagal tapi dana tidak kembali ke saldo tunggu  hari itu uang kita butuh bukan ditahan oleh bank semakin tidak percaya dengan bank aceh segera diperbaiki,-18,NEGATIVE,aplikasi baik transfer uang  bank syariah indonesia saldo terpotong dana masuk rekening tujuan lapor layanan pelanggan c keterangan gagal dana kembali saldo tunggu  hari uang butuh bukan ditahan bank semakin percaya bank aceh segera diperbaiki,"['aplikasi', 'transfer', 'uang', 'bank', 'syariah', 'indonesia', 'saldo', 'potong', 'dana', 'masuk', 'rekening', 'tuju', 'lapor', 'layan', 'langgan', 'c', 'terang', 'gagal', 'dana', 'saldo', 'tunggu', 'uang', 'butuh', 'tahan', 'bank', 'percaya', 'bank', 'aceh', 'baik']",aplikasi transfer uang bank syariah indonesia saldo potong dana masuk rekening tuju lapor layan langgan c terang gagal dana saldo tunggu uang butuh tahan bank percaya bank aceh baik
Zainal Monraf,1/5/2024 20:27,5,bagus pelayanannya keamanannya pun terjamin,4,POSITIVE,bagus pelayanannya keamanannya terjamin,"['bagus', 'layan', 'aman', 'jamin']",bagus layan aman jamin
Juwa Riah,1/4/2024 22:28,5,mohon sering di perbaharui mobile banking action aceh ada peningkatan sering kali setiap uang yang masuk rekening tapi tidak terbaca di mobile  action jadi untuk apa juga ada mobile kalau tidak terbaca uang masuk mohon lebih bagus lagi kedepan jangan asal ada mobile saja agar lebih bermanfaat,-20,NEGATIVE,mohon sering perbaharui mobile banking action aceh peningkatan sering kali uang masuk rekening terbaca mobile  action jadi apa mobile kalau tidak terbaca uang masuk mohon lebih bagus kedepan jangan asal ada mobile agar lebih bermanfaat,"['mohon', 'baharu', 'mobile', 'banking', 'action', 'aceh', 'tingkat', 'kali', 'uang', 'masuk', 'rekening', 'baca', 'mobile', 'action', 'mobile', 'baca', 'uang', 'masuk', 'mohon', 'bagus', 'depan', 'mobile', 'manfaat']",mohon baharu mobile banking action aceh tingkat kali uang masuk rekening baca mobile action mobile baca uang masuk mohon bagus depan mobile manfaat
hasima bisra yoga,1/4/2024 21:14,2,kenapa aku daftar rekening bisa ya,3,POSITIVE,aku daftar rekening ya,"['daftar', 'rekening', 'ya']",daftar rekening ya
Muhammad Bachraini,1/4/2024 8:11,3,bintang  segini dulu kapan nih bisa top up wallet ke dana,9,POSITIVE,bintang  segini dulu kapan nih top up wallet dana,"['bintang', 'gin', 'nih', 'top', 'up', 'wallet', 'dana']",bintang gin nih top up wallet dana
Mas Adi,1/3/2024 21:09,3,setelah melakukan pembelian token listrik lihat kode tokennya dimana terimakasih,4,POSITIVE,melakukan pembelian token listrik lihat kode tokennya terimakasih,"['beli', 'token', 'listrik', 'lihat', 'kode', 'tokennya', 'terimakasih']",beli token listrik lihat kode tokennya terimakasih
Darmis anak rantau,1/2/2024 17:20,1,sudah dua hari saya tidak bisa lakukan transaksi selalu bilang saldo tidak ada padahal uang ada di rekening saya kesal juga karena saya sekarang berada di luar daerah aceh,-10,NEGATIVE,dua hari lakukan transaksi selalu bilang saldo tidak padahal uang ada rekening kesal karena sekarang berada di luar daerah aceh,"['laku', 'transaksi', 'bilang', 'saldo', 'uang', 'rekening', 'kesal', 'daerah', 'aceh']",laku transaksi bilang saldo uang rekening kesal daerah aceh
Rasya Alfatah,1/2/2024 9:44,3,cacat saat pembaharuan tombol unduh  tidak berjalan padahal kuota saya sudah terpotong,-17,NEGATIVE,cacat pembaharuan tombol unduh  berjalan padahal kuota sudah terpotong,"['cacat', 'baharu', 'tombol', 'unduh', 'jalan', 'kuota', 'potong']",cacat baharu tombol unduh jalan kuota potong
Mas Andi Is,1/1/2024 15:15,1,tidak bisa berjalan di smartphone android saya,-7,NEGATIVE,bisa berjalan smartphone android,"['jalan', 'smartphone', 'android']",jalan smartphone android
hell boy,12/28/2023 10:47,5,bank aceh semakin berkembang,2,POSITIVE,bank aceh semakin berkembang,"['bank', 'aceh', 'kembang']",bank aceh kembang
Halimatun Nisa,12/25/2023 6:37,3,saya tiba malam tadi tidak bisa akses action bank tiba password di blokir itu bagaimana ya saya sudah kirim email tapi belum ada respon saya takut tabungan saya hilang karena saya enggak bisa akses,-17,NEGATIVE,tiba malam tadi akses action bank tiba password blokir bagaimana kirim email belum respon takut tabungan saya hilang saya enggak bisa akses,"['malam', 'akses', 'action', 'bank', 'password', 'blokir', 'kirim', 'email', 'respon', 'takut', 'tabung', 'hilang', 'akses']",malam akses action bank password blokir kirim email respon takut tabung hilang akses
Hana perle,12/22/2023 5:41,1,seandainya aplikasi tidak sengaja teruninstal atau smartphone  kita atur ulang pabrik ketika install ulang aplikasi action mobile  pasti ada notifikasi yang mengharuskan kita untuk harus aktivasi ulang di kantor cabang terdekat dan itu sangat merepotkan seharusnya aktivasi ulang dipermudan seperti aplikasi mobile banking lain  hanya isi data selfie dan selesai aplikasi bisa di gunakan kembali mudah perbaharui kedepan bisa lebih baik lagi,-27,NEGATIVE,seandainya aplikasi sengaja teruninstal smartphone  atur ulang pabrik install ulang aplikasi action mobile  ada notifikasi mengharuskan untuk aktivasi ulang kantor cabang terdekat itu sangat merepotkan aktivasi ulang dipermudan aplikasi mobile banking  isi data selfie selesai aplikasi di gunakan mudah perbaharui kedepan lebih baik,"['anda', 'aplikasi', 'sengaja', 'teruninstal', 'smartphone', 'atur', 'ulang', 'pabrik', 'install', 'ulang', 'aplikasi', 'action', 'mobile', 'notifikasi', 'harus', 'aktivasi', 'ulang', 'kantor', 'cabang', 'dekat', 'repot', 'aktivasi', 'ulang', 'mud', 'aplikasi', 'mobile', 'banking', 'isi', 'data', 'selfie', 'selesai', 'aplikasi', 'mudah', 'baharu', 'depan']",anda aplikasi sengaja teruninstal smartphone atur ulang pabrik install ulang aplikasi action mobile notifikasi harus aktivasi ulang kantor cabang dekat repot aktivasi ulang mud aplikasi mobile banking isi data selfie selesai aplikasi mudah baharu depan
Akbar Anfasa,12/21/2023 20:27,5,sungguh sangat membantu dan mempermudah keuangan,-2,NEGATIVE,sungguh sangat membantu mempermudah keuangan,"['sungguh', 'bantu', 'mudah', 'uang']",sungguh bantu mudah uang
Azmi Azmi,12/21/2023 10:24,5,bank aceh syariah semakin berkembang,2,POSITIVE,bank aceh syariah semakin berkembang,"['bank', 'aceh', 'syariah', 'kembang']",bank aceh syariah kembang
Ibu Nurul,12/19/2023 13:30,5,bank aceh syariah semakin berkembang lebih maju,3,POSITIVE,bank aceh syariah semakin berkembang lebih maju,"['bank', 'aceh', 'syariah', 'kembang', 'maju']",bank aceh syariah kembang maju
Aries,12/19/2023 8:10,3,disuruh perbaharui tapi mengapa nggak bisa,-4,NEGATIVE,disuruh perbaharui mengapa bisa,"['suruh', 'baharu']",suruh baharu
Emy Tkn,12/18/2023 14:13,1,bentar perbaharui perasaan baru  minggu yang lalu saya perbaharui sudah minta di perbaharui lagi,-8,NEGATIVE,bentar perbaharui perasaan baru  minggu lalu perbaharui minta perbaharui,"['bentar', 'baharu', 'asa', 'minggu', 'baharu', 'baharu']",bentar baharu asa minggu baharu baharu
Ernasari Lase,12/16/2023 10:44,2,maaf kasih bintang  aplikasinya bagus tapi entah kenapa hari ini tidak bisa di buka  jam tungguin aplikasi  malah nggak masuk aneh,-12,NEGATIVE,maaf kasih bintang  aplikasinya bagus entah hari tidak di buka  jam tungguin aplikasi  malah masuk aneh,"['maaf', 'kasih', 'bintang', 'aplikasi', 'bagus', 'buka', 'jam', 'tungguin', 'aplikasi', 'masuk', 'aneh']",maaf kasih bintang aplikasi bagus buka jam tungguin aplikasi masuk aneh
muntazar taza,12/15/2023 22:33,1,masih banyak belum lengkap dan kurang,-4,NEGATIVE,banyak lengkap kurang,['lengkap'],lengkap
H454N Trumon,12/15/2023 17:51,4,saya ganti perangkat sesudah instal aplikasi ini kurang berjalan di samsung a saya,-10,NEGATIVE,ganti perangkat instal aplikasi kurang berjalan samsung a,"['ganti', 'perangkat', 'instal', 'aplikasi', 'jalan', 'samsung', 'a']",ganti perangkat instal aplikasi jalan samsung a
Erna Yunidar,12/15/2023 12:33,5,mudah di akses dan bisa dimana saja,2,POSITIVE,mudah akses bisa saja,"['mudah', 'akses']",mudah akses
chairil anwar,12/15/2023 10:01,5,mantap mudah lancar dan cepat,10,POSITIVE,mantap mudah lancar cepat,"['mantap', 'mudah', 'lancar', 'cepat']",mantap mudah lancar cepat
Ibnu Hajar (Ibnu),12/14/2023 13:03,5,aplikasi action mobile mantap,4,POSITIVE,aplikasi action mobile mantap,"['aplikasi', 'action', 'mobile', 'mantap']",aplikasi action mobile mantap
Kanaya Kanaya,12/14/2023 12:17,1,tiba tiba enggak bisa akses action mobile di perbaharui juga tidak bisa apa yang harus kami lakukan,-16,NEGATIVE,tiba tiba enggak akses action mobile perbaharui tidak apa harus lakukan,"['akses', 'action', 'mobile', 'baharu', 'laku']",akses action mobile baharu laku
Rifatul Husna,12/14/2023 10:56,5,dengan adanya action mobile sangat praktis dan mudah,5,POSITIVE,adanya action mobile sangat praktis mudah,"['action', 'mobile', 'praktis', 'mudah']",action mobile praktis mudah
Ida Wati,12/13/2023 22:09,2,sebentar sebentar tidak bisa dibuka,-9,NEGATIVE,sebentar sebentar bisa dibuka,"['sebentar', 'sebentar', 'buka']",sebentar sebentar buka
Zarr Channel,12/13/2023 18:36,5,aplikasi yang sangat membantu cuma kedepan  tolong di perbaiki cacat yang terjadi di dalam aplikasi,-15,NEGATIVE,aplikasi sangat membantu cuma kedepan  perbaiki cacat terjadi di dalam aplikasi,"['aplikasi', 'bantu', 'depan', 'baik', 'cacat', 'aplikasi']",aplikasi bantu depan baik cacat aplikasi
Darul Amin Simeulue,12/13/2023 15:24,5,sangat membantu di segala hal,-2,NEGATIVE,sangat membantu segala,['bantu'],bantu
rismawan syah,12/13/2023 11:38,2,mau perbaharui ke versi baru tapi malah keluar notifikasi tidak dapat menginstal action mobile ini solusinya bagaimana ya padahal lagi perlu mobile banking,2,POSITIVE,mau perbaharui versi baru malah keluar notifikasi dapat menginstal action mobile solusinya bagaimana padahal perlu mobile banking,"['baharu', 'versi', 'notifikasi', 'menginstal', 'action', 'mobile', 'solusi', 'mobile', 'banking']",baharu versi notifikasi menginstal action mobile solusi mobile banking
Ida Rahmi,12/13/2023 9:40,4,bagus sangat membantu saya action mobile,-3,NEGATIVE,bagus sangat membantu action mobile,"['bagus', 'bantu', 'action', 'mobile']",bagus bantu action mobile
Srinofita Afrianty05,12/13/2023 7:37,1,diminta perbaharui tapi nggak bisa bisa,-2,NEGATIVE,diminta perbaharui nggak bisa,"['baharu', 'nggak']",baharu nggak
aidissaputra,12/12/2023 23:11,3,kenapa nggak bisa di perbaharui ya di smartphone saya padahal kemaren enak saja waktu buka dan perbaharui,-2,NEGATIVE,nggak di perbaharui di smartphone padahal kemaren enak waktu buka perbaharui,"['nggak', 'baharu', 'smartphone', 'kemaren', 'enak', 'buka', 'baharu']",nggak baharu smartphone kemaren enak buka baharu
Nazaruddin Idris,12/12/2023 19:43,4,lumayan sudah ada tambahan,6,POSITIVE,lumayan ada tambahan,"['lumayan', 'tambah']",lumayan tambah
helmi se,12/12/2023 18:49,5,bagus sangat membantu untuk kerja,2,POSITIVE,bagus sangat membantu kerja,"['bagus', 'bantu', 'kerja']",bagus bantu kerja
Muhammad Alif Alwi,12/12/2023 12:30,5,sangat mempermudah transaksi semoga kedepannya bank aceh semakin berjaya untuk masa depan aceh,5,POSITIVE,sangat mempermudah transaksi semoga kedepannya bank aceh semakin berjaya masa depan aceh,"['mudah', 'transaksi', 'moga', 'depan', 'bank', 'aceh', 'jaya', 'aceh']",mudah transaksi moga depan bank aceh jaya aceh
Teuku Muhammad Umri Ubit,12/12/2023 11:21,5,sangat membantu dalam melakukan pekerjaan berkaitan perbankan,7,POSITIVE,sangat membantu melakukan pekerjaan berkaitan perbankan,"['bantu', 'kerja', 'kait', 'perban']",bantu kerja kait perban
Deddie Lesmn,12/11/2023 0:10,2,tidak bisa dibuka pada android  padahal katanya dukungan sampai ke android,-7,NEGATIVE,bisa dibuka android  padahal katanya dukungan ke android,"['buka', 'android', 'dukung', 'android']",buka android dukung android
Bayu Samudra Rifa,12/7/2023 21:46,1,fitur topup ewallet nge cacat seperti  masa keluar notifikasi koneksi terputus silahkan cek saldo anda sebelum melakukan transaksi ketika topup gopay jika topup ovo atau linkaja malah keluar notifikasi peringatan hilang tidak ada teks apapun sangat membuat tidak nyaman,-20,NEGATIVE,fitur topup ewallet nge cacat  masa keluar notifikasi koneksi terputus silahkan cek saldo sebelum melakukan transaksi topup gopay topup ovo linkaja malah keluar notifikasi peringatan hilang ada teks apapun sangat membuat nyaman,"['fitur', 'topup', 'ewallet', 'nge', 'cacat', 'notifikasi', 'koneksi', 'putus', 'silah', 'cek', 'saldo', 'transaksi', 'topup', 'gopay', 'topup', 'ovo', 'linkaja', 'notifikasi', 'ingat', 'hilang', 'teks', 'apa', 'nyaman']",fitur topup ewallet nge cacat notifikasi koneksi putus silah cek saldo transaksi topup gopay topup ovo linkaja notifikasi ingat hilang teks apa nyaman
Mawardi Ardi,12/7/2023 20:11,2,saat keluar dari aplikasi dan ingin buka lagi kenapa harus masuk lagi ya sulit banget kenapa tidak sekali masuk saja atau emang di aplikasi aku saja begitu ya kepada pihak terkait mohon di perbaiki karena sangat menyusahkan pengguna dan kalau password diblokir itu caranya bagaimana ya,-35,NEGATIVE,keluar aplikasi ingin buka masuk sulit banget kenapa tidak sekali masuk atau emang aplikasi aku begitu kepada pihak terkait mohon perbaiki sangat menyusahkan pengguna kalau password diblokir caranya bagaimana ya,"['aplikasi', 'buka', 'masuk', 'sulit', 'banget', 'masuk', 'emang', 'aplikasi', 'kait', 'mohon', 'baik', 'susah', 'guna', 'password', 'blokir', 'ya']",aplikasi buka masuk sulit banget masuk emang aplikasi kait mohon baik susah guna password blokir ya
Muhammad Ikhsan,12/6/2023 20:21,3,aplikasi tidak berjalan di perangkat saya aplikasi versi lama bisa berjalan setelah perbaharui tidak bisa berjalan di perangkat xiaomi mi  mohon solusinya terimakasih,-12,NEGATIVE,aplikasi berjalan perangkat aplikasi versi lama berjalan perbaharui bisa berjalan perangkat xiaomi mi  mohon solusinya terimakasih,"['aplikasi', 'jalan', 'perangkat', 'aplikasi', 'versi', 'jalan', 'baharu', 'jalan', 'perangkat', 'xiaomi', 'mi', 'mohon', 'solusi', 'terimakasih']",aplikasi jalan perangkat aplikasi versi jalan baharu jalan perangkat xiaomi mi mohon solusi terimakasih
Saiful Hadi,12/4/2023 17:38,5,aplikasinya sudah bagus namun lebih bagus lagi jika ada opsi untuk pembayaran online shop,4,POSITIVE,aplikasinya bagus lebih bagus jika opsi pembayaran online shop,"['aplikasi', 'bagus', 'bagus', 'opsi', 'bayar', 'online', 'shop']",aplikasi bagus bagus opsi bayar online shop
adhiyati abd muthalib,12/1/2023 22:31,1,action mobile tidak bisa diakses lagi di android saya mohon bantuannya,-11,NEGATIVE,action mobile bisa diakses di android mohon bantuannya,"['action', 'mobile', 'akses', 'android', 'mohon', 'bantu']",action mobile akses android mohon bantu
Rifani Pratama,12/1/2023 21:07,1,karena belum ada menu deposito ataupun kredit secara online bintang  kasih  dlu sekarang zaman online,4,POSITIVE,belum menu deposito ataupun kredit online bintang  kasih  dlu sekarang zaman online,"['menu', 'deposito', 'kredit', 'online', 'bintang', 'kasih', 'dlu', 'zaman', 'online']",menu deposito kredit online bintang kasih dlu zaman online
Muhammad Fuadi94,12/1/2023 18:37,1,saya ingin mendaftar tapi data tidak ditemukan bagaimana sih padahal data yang saya masukkan benar,-24,NEGATIVE,ingin mendaftar data ditemukan bagaimana sih padahal data saya masukkan benar,"['daftar', 'data', 'temu', 'sih', 'data', 'masuk']",daftar data temu sih data masuk
FaMusTV,12/1/2023 15:47,2,kenapa kirim uang dengan memakai qris tidak bisa dibilang koneksi terputus ada apa,-7,NEGATIVE,kirim uang memakai qris bisa dibilang koneksi terputus apa,"['kirim', 'uang', 'pakai', 'qris', 'bilang', 'koneksi', 'putus']",kirim uang pakai qris bilang koneksi putus
MAR Diana,12/1/2023 15:19,5,bank aceh semakin berkembang,2,POSITIVE,bank aceh semakin berkembang,"['bank', 'aceh', 'kembang']",bank aceh kembang
zakki madridista,11/30/2023 3:29,1,rata rata komentar negatif semua ini harus ada perbaikan manajemen aplikasinya supaya mempermudah nasabah bukan harus ke bank selalu jawabannya komentar saya ini pasti dijawab dengan kunjungi bank aceh terdekat aduh,-18,NEGATIVE,rata rata komentar negatif semua perbaikan manajemen aplikasinya mempermudah nasabah bukan harus ke bank selalu jawabannya komentar ini dijawab kunjungi bank aceh terdekat aduh,"['komentar', 'negatif', 'baik', 'manajemen', 'aplikasi', 'mudah', 'nasabah', 'bank', 'jawab', 'komentar', 'kunjung', 'bank', 'aceh', 'dekat', 'aduh']",komentar negatif baik manajemen aplikasi mudah nasabah bank jawab komentar kunjung bank aceh dekat aduh
Bang Rey WDF,11/30/2023 2:52,5,disuruh cek koneksi koneksi sangat bagus apa penyebab  kakak,-16,NEGATIVE,disuruh cek koneksi koneksi sangat bagus apa penyebab  kakak,"['suruh', 'cek', 'koneksi', 'koneksi', 'bagus', 'sebab', 'kakak']",suruh cek koneksi koneksi bagus sebab kakak
irfan Bobovan,11/28/2023 18:28,5,untuk di bagian top up tolong ditambahkan dana dong terimakasih,10,POSITIVE,di bagian top up ditambahkan dana dong terimakasih,"['top', 'up', 'dana', 'terimakasih']",top up dana terimakasih
Fazal Habibi,11/28/2023 12:22,1,kenapa tidak mau daftar akun,-3,NEGATIVE,tidak mau daftar akun,"['daftar', 'akun']",daftar akun
Putry Poppy,11/25/2023 18:29,4,kenapa data saya tidak ditemukan,-11,NEGATIVE,data tidak ditemukan,"['data', 'temu']",data temu
Muhammad Hasbar Kuba,11/25/2023 0:03,5,top mantap bank aceh terbaik,15,POSITIVE,top mantap bank aceh terbaik,"['top', 'mantap', 'bank', 'aceh', 'baik']",top mantap bank aceh baik
Murni Mur,11/24/2023 17:37,2,saya akan bantu terkait keluhannya terimakasih adik sekalian mantan ayok,-6,NEGATIVE,akan bantu terkait keluhannya terimakasih adik sekalian mantan ayok,"['bantu', 'kait', 'keluh', 'terimakasih', 'adik', 'mantan', 'ayok']",bantu kait keluh terimakasih adik mantan ayok
Riza geo,11/22/2023 14:14,1,bi fast harusnya dari  ini  terus sekarang kemana bi fast,-3,NEGATIVE,bi fast harusnya   terus sekarang bi fast,"['bi', 'fast', 'bi', 'fast']",bi fast bi fast
Muhammad Yusuf,11/21/2023 21:54,2,kenapa bi fast tidak ada lagi di action mobile,-7,NEGATIVE,bi fast ada di action mobile,"['bi', 'fast', 'action', 'mobile']",bi fast action mobile
Sawal Udin,11/21/2023 21:12,1,menu bi fast kenapa dihapus ya,4,POSITIVE,menu bi fast dihapus,"['menu', 'bi', 'fast', 'hapus']",menu bi fast hapus
W D,11/21/2023 13:08,1,peuuu roehhh leumoeh that agoe bank aceh bi fast cuma  uroe sagai hanjeut sagai leubeh keugop koen pu laen kamurah bacut bak ta transfer,-6,NEGATIVE,peuuu roehhh leumoeh that agoe bank aceh bi fast cuma  uroe sagai hanjeut sagai leubeh keugop koen pu laen kamurah bacut bak ta transfer,"['peuuu', 'roehhh', 'leumoeh', 'that', 'agoe', 'bank', 'aceh', 'bi', 'fast', 'uroe', 'sagai', 'hanjeut', 'sagai', 'leubeh', 'keugop', 'koen', 'pu', 'laen', 'kamurah', 'bacut', 'bak', 'ta', 'transfer']",peuuu roehhh leumoeh that agoe bank aceh bi fast uroe sagai hanjeut sagai leubeh keugop koen pu laen kamurah bacut bak ta transfer
Agus Munandar,11/21/2023 0:24,5,jam   tidak bisa buka aplikasinya,-5,NEGATIVE,jam   bisa buka aplikasinya,"['jam', 'buka', 'aplikasi']",jam buka aplikasi
Helsingki,11/16/2023 7:09,1,mau daftar malah di buat data tidak ditemukan,-5,NEGATIVE,mau daftar malah buat data ditemukan,"['daftar', 'data', 'temu']",daftar data temu
fauzan fauzan,11/12/2023 15:09,5,proses cepat dalam segala transaksi,8,POSITIVE,proses cepat segala transaksi,"['proses', 'cepat', 'transaksi']",proses cepat transaksi
DEDE HARYA OFFICIAL,11/10/2023 10:29,3,kenapa kalau ganti perangkat harus ke kantor sih kak,-6,NEGATIVE,kalau ganti perangkat ke kantor sih kak,"['ganti', 'perangkat', 'kantor', 'sih', 'kak']",ganti perangkat kantor sih kak
Della Rizki,11/9/2023 20:19,2,telepon lama saya mati dan saya mau pindah banking saya ke smartphone baru mengapa nggak bisa ya bagaimana solusinya,-6,NEGATIVE,telepon lama mati mau pindah banking saya ke smartphone baru nggak ya bagaimana solusinya,"['telepon', 'mati', 'pindah', 'banking', 'smartphone', 'nggak', 'ya', 'solusi']",telepon mati pindah banking smartphone nggak ya solusi
Muhammad Nasirr,11/7/2023 11:29,1,setelah di tingkatkan semakin lambat perbaiki lah bagaimana mau maju,7,POSITIVE,di tingkatkan semakin lambat perbaiki lah bagaimana mau maju,"['tingkat', 'lambat', 'baik', 'maju']",tingkat lambat baik maju
edy _0112,11/6/2023 0:11,5,mudah untuk transaksi kemana pun,4,POSITIVE,mudah transaksi pun,"['mudah', 'transaksi']",mudah transaksi
Said Yasier,11/5/2023 17:47,5,bank aceh saya sudah ganti perangkat melalui mobile banking dan sudah input data yang diminta setelah semua data saya input di smartphone baru muncul notifikasi untuk menghubungi bank aceh terdekat masalahnya saya tetap di bandung tolong dibantu kendala yang saya hadapi terimakasih sebelumnya,-16,NEGATIVE,bank aceh sudah ganti perangkat melalui mobile banking sudah input data diminta semua data input smartphone baru muncul notifikasi menghubungi bank aceh terdekat masalahnya tetap bandung dibantu kendala saya hadapi terimakasih sebelumnya,"['bank', 'aceh', 'ganti', 'perangkat', 'mobile', 'banking', 'input', 'data', 'data', 'input', 'smartphone', 'muncul', 'notifikasi', 'hubung', 'bank', 'aceh', 'dekat', 'bandung', 'bantu', 'kendala', 'hadap', 'terimakasih']",bank aceh ganti perangkat mobile banking input data data input smartphone muncul notifikasi hubung bank aceh dekat bandung bantu kendala hadap terimakasih
